index,market,baseline_trade_size,open_long,open_short,reserved_account_size,take_profit_long,take_profit_short,stop_loss_long,stop_loss_short,trailing_stop_loss_long,trailing_stop_loss_short,post_pyramid_scale,post_pyramid_raise_quote,account_size_threshold,max_volatility,annualized_net_return_percent,average_additional_trades,average_invested_timeframe,average_loss_per_trade,average_loss_percent,average_loss_series,average_loss_timeframe,average_profit_per_trade,average_profit_percent,average_profit_series,average_profit_timeframe,average_timeframe_not_invested,average_trade_size,average_trades_per_month,longest_loss_series,longest_profit_series,max_additional_trades,max_draw_down,max_invested_timeframe,max_loss,max_loss_percent,max_loss_timeframe,max_net_return,max_profit,max_profit_percent,max_profit_timeframe,max_timeframe_not_invested,max_trade_size,max_trades_per_month,min_additional_trades,min_invested_timeframe,min_loss,min_loss_percent,min_loss_timeframe,min_profit,min_profit_percent,min_profit_timeframe,min_timeframe_not_invested,min_trade_size,min_trades_per_month,profit_loss_ratio_percent,stability,total_additional_trades,total_loss_trades,total_net_return,total_net_return_percent,total_profit_trades,total_time_invested,total_time_loss_trades,total_time_not_invested,total_time_profit_trades,total_trades,total_volume_quote,fitness
10,Kraken-BTC-EUR,100.0,0.15882521634722488,-0.13047972615777054,,,,,,-0.13047972615777054,-0.08762599996653747,,,,1.0,-0.7219086475229994,0.5555555555555556,763800.0,-8.228212587993504,-0.09460044090562812,2.5833333333333335,725100.0,8.387178581592538,0.10043121446422805,1.5,841200.0,324847.0588235294,85.11446061070424,2.25,6,3,6,0.5570478863742798,1994400.0,14.971462343707792,-0.20797308944007237,1994400.0,24.015911787896016,24.015911787896016,0.2671058683762765,1436400.0,2131200.0,116.1533932717212,4,1,86400.0,0.9032004938240021,-0.007964819104244375,86400.0,0.17034478865279112,0.0024477446858662843,223200.0,0.0,56.6815512316794,1,0.5,13.129941584558772,10,12,-48.4154795663668,-0.484154795663668,6,13748400.0,8701200.0,7416000.0,5047200.0,18,1532.0602909926763,-11.96959029489053
11,Kraken-BTC-EUR,100.0,0.09337647975708555,-0.08536281258615641,,,,,,-0.03884362903537431,-0.09337647975708555,,,,1.0,-0.11021601139949544,0.41935483870967744,394954.8387096774,-5.06050485540844,-0.0579016662664105,1.4375,368775.0,4.905089177111589,0.06227016511865645,1.4,422880.0,253320.0,82.79399198001823,3.875,3,2,2,0.3376997955460682,2620800.0,10.899247463414397,-0.13508491083172466,1288800.0,17.469992203643997,17.469992203643997,0.19606137730852355,2620800.0,1929600.0,107.0846805522348,8,1,10800.0,0.8404156736250172,-0.010212745061537467,10800.0,0.9414705236352034,0.012243701742115606,39600.0,0.0,66.05784602523599,2,0.9375,9.66311006349162,13,16,-7.391740029861211,-0.0739174002986121,15,12243600.0,5900400.0,8920800.0,6343200.0,31,2566.613751380565,-11.489820539564676
12,Kraken-BTC-EUR,100.0,0.12593009346124415,-0.19306071628460475,,,,,,-0.13047972615777054,-0.022181139570781994,,,,1.0,-0.4055854763529649,0.6153846153846154,536123.0769230769,-6.309670168291665,-0.0662928462114995,4.111111111111111,478800.0,7.396515420639247,0.0829981946524044,1.75,665100.0,1032000.0,91.19266287773925,1.8571428571428572,8,3,8,0.4060116187421949,1717200.0,14.702704706099212,-0.13225425182312112,1717200.0,19.602618850854,19.602618850854,0.19551785463217322,1447200.0,3582000.0,119.29167119705438,5,8,10800.0,1.4993815951649907,-0.018024615313782126,10800.0,0.13596826232701176,0.0019188882955662682,93600.0,46800.0,70.8578308811286,1,0.4444444444444444,15.739901447264026,8,9,-27.200969832067997,-0.27200969832067995,4,6969600.0,4309200.0,14194800.0,2660400.0,13,1185.5046174106103,-11.001736212391
13,Kraken-BTC-EUR,100.0,0.12736714213980108,-0.13047972615777054,,,,,,-0.13047972615777054,-0.12736714213980108,,,,1.0,-1.0965892547446805,0.7083333333333334,825900.0,-6.603490435978791,-0.0976390770495451,6.0,655389.4736842106,10.38450657562432,0.14330037330813922,1.6,1473840.0,0.0,66.888753667839,3.0,14,3,14,0.7787990359348584,2667600.0,15.362007402439787,-0.19334531482451697,2059200.0,25.920252252339196,25.920252252339196,0.2986016222565491,2667600.0,0.0,119.29167436379939,7,3,97200.0,0.5607793475899996,-0.01150914289882213,97200.0,1.110143352228004,0.04097445884235014,835200.0,0.0,27.0935451887064,1,0.2631578947368421,17.957848461163444,17,19,-73.54378540547543,-0.7354378540547544,5,19821600.0,12452400.0,1342800.0,7369200.0,24,1605.330088028136,-10.789798036089891
14,Kraken-BTC-EUR,100.0,0.16028964440524282,-0.1851861361774438,,,,,,-0.055690137242586146,-0.09141654572724608,,,,1.0,0.05877515773966995,0.45454545454545453,252981.81818181818,-5.310975656539036,-0.050182078200498664,1.6666666666666667,174600.0,7.161532988055649,0.07343366532699203,1.6,347040.0,1494360.0,101.67282088017478,1.375,3,3,3,0.21313059283349525,568800.0,8.447601185950006,-0.07404400595786197,241200.0,14.386304387825987,14.386304387825987,0.14348998056028286,568800.0,3985200.0,114.08892693835999,3,2,46800.0,2.1069164632319968,-0.019836504689796548,57600.0,0.7412931951600115,0.008257415318732796,46800.0,36000.0,89.7730302457128,1,0.8333333333333334,8.508759418703699,5,6,3.94181100104403,0.0394181100104403,5,2782800.0,1047600.0,18381600.0,1735200.0,11,1118.4010296819226,-10.464594171582593
15,Kraken-BTC-EUR,100.0,0.13217768844414682,-0.13173894732058436,,,,,,-0.13173894732058436,-0.13217768844414682,,,,1.0,-1.0036473558526489,0.6363636363636364,895254.5454545454,-7.394401048607413,-0.10133132106272863,2.9375,733500.0,8.49997781138697,0.11206670249285533,1.5,1326600.0,0.0,72.80369247997923,2.75,7,3,7,0.7237538958618839,2671200.0,15.199127223310768,-0.19334531482451706,2059200.0,24.489388306779006,24.489388306779006,0.28819676640438674,2671200.0,0.0,118.02684947601242,5,3,97200.0,1.0311690098094033,-0.016076242064629733,97200.0,1.012339082813405,0.017396565667634516,680400.0,0.0,35.232899157923406,1,0.375,12.511782409725958,14,16,-67.3105499093968,-0.673105499093968,6,19695600.0,11736000.0,1468800.0,7959600.0,22,1601.681234559543,-10.411516823805623
16,Kraken-BTC-EUR,100.0,0.23524072038996366,-0.09863808745242014,,,,,,-0.018760083581307277,-0.13217768844414682,,,,1.0,0.06336901545153355,0.3333333333333333,415500.0,-6.520831035044896,-0.06981994233638433,1.75,269100.0,3.7916533138941766,0.04413033845069838,2.375,488700.0,1125490.9090909092,88.75489489976542,2.0,3,5,3,0.24678602170865735,2793600.0,12.160122328910603,-0.13761870423035721,550800.0,13.923606908402391,13.923606908402391,0.15454974626358958,2793600.0,5792400.0,101.20959594218479,3,1,7200.0,1.0411004162636033,-0.011803033091068673,14400.0,0.14379820171200208,0.0017260662777798513,7200.0,61200.0,76.62996744012,1,2.0,7.872097235359438,4,4,4.249902370973828,0.04249902370973828,8,4986000.0,1076400.0,16178400.0,3909600.0,12,1065.058738797185,-10.171515072979055
17,Kraken-BTC-EUR,100.0,0.11846563609047225,-0.19789054782119225,,,,,,-0.08536281258615641,0.030001370047523956,,,,1.0,-0.12772994584580447,0.6153846153846154,160061.53846153847,-3.2081595494442796,-0.031079621918287358,3.9,153360.0,7.838422349286527,0.08171006601767165,1.3333333333333333,182400.0,1345200.0,99.89718041448623,1.625,8,2,8,0.23815916865157688,547200.0,10.180445737651183,-0.08801443349217807,547200.0,14.880818131592392,14.880818131592392,0.14842230833338085,478800.0,3978000.0,115.66791188351999,4,8,3600.0,0.15906770983998797,-0.0016683562305103853,3600.0,0.4871362123599994,0.0042514169872248575,3600.0,64800.0,87.9906796732992,1,0.3,8.202460731814377,8,10,-8.566328446583213,-0.08566328446583213,3,2080800.0,1533600.0,19083600.0,547200.0,13,1298.663345388321,-9.559939847456352
18,Kraken-BTC-EUR,100.0,0.15144013317144597,-0.0903932719108947,,,,,,-0.055690137242586146,-0.10759959631642364,,,,1.0,-0.50711113027578,0.52,418320.0,-5.771154073088425,-0.07074931938935872,2.75,238050.0,6.480953585646045,0.09145627172509754,1.5555555555555556,738800.0,393600.0,75.67413837395833,3.125,6,3,6,0.548999507604623,2624400.0,17.48097509594801,-0.1511527090134484,820800.0,15.95254804266959,15.95254804266959,0.19089139331110055,2624400.0,1926000.0,115.65108697054639,6,1,28800.0,1.046291201353796,-0.012694503736727883,28800.0,0.993631254957009,0.012266717776835022,50400.0,3600.0,52.4305926863082,1,0.5625,12.363198500058202,13,16,-34.0098828986004,-0.340098828986004,9,10458000.0,3808800.0,10706400.0,6649200.0,25,1891.853459348958,-7.7657953400086726
19,Kraken-BTC-EUR,100.0,0.10512665452869596,-0.20278114340151257,,,,,,-0.08427205166489221,-0.10512665452869596,,,,1.0,-0.560657229015979,0.6153846153846154,399323.07692307694,-6.138519593877222,-0.06922737658241035,2.4444444444444446,426400.0,4.411418546111552,0.047786924667392906,1.25,338400.0,1086000.0,84.0019936754827,1.8571428571428572,5,2,5,0.4601189197998141,1292400.0,11.027450927450019,-0.11633537822656627,1292400.0,14.880818131592392,14.880818131592392,0.14842230833338085,478800.0,3978000.0,114.58208259124,4,3,50400.0,0.4841487330983938,-0.0071215159031319765,50400.0,0.19332560429000978,0.0022522178583331415,212400.0,0.0,61.86069967840841,1,0.4444444444444444,10.761053228786459,8,9,-37.601002160448786,-0.3760100216044879,4,5191200.0,3837600.0,15973200.0,1353600.0,13,1092.025917781275,-6.656472476069794
